x,y,v
1.607860,1.600338,1.000000
-1.216456,2.050716,0.991188
-2.306576,0.812113,0.990119
-2.360844,-0.836995,0.989157
-1.376934,-2.161540,0.988287
0.210652,-2.611063,0.987495
1.751772,-2.021614,0.986772
2.653275,-0.639662,0.986109
2.593009,1.009237,0.985499
1.609034,2.333735,0.984936
0.053974,2.885358,0.984414
-1.549014,2.494296,0.983929
-2.687618,1.300109,0.983478
-3.017591,-0.316560,0.983056
-2.452312,-1.866708,0.982662
-1.168154,-2.902777,0.982291
0.464530,-3.141189,0.981944
1.996280,-2.527803,0.981616
3.023035,-1.236186,0.981307
3.287047,0.392555,0.981015
2.731752,1.946308,0.980739
1.502584,3.047056,0.980478
-0.100289,3.438590,0.980229
-1.701029,3.038428,0.979993
-2.937662,1.946073,0.979768
-3.541196,0.410414,0.979554
-3.388344,-1.232490,0.979350
-2.519386,-2.635135,0.979155
-1.120944,-3.510841,0.978969
0.519480,-3.688345,0.978791
2.075554,-3.139587,0.978620
3.247205,-1.977806,0.978456
3.816162,-0.429004,0.978299
3.682468,1.215570,0.978148
2.876974,2.655598,0.978003
1.549649,3.635756,0.977864
-0.062230,3.988380,0.977729
-1.678881,3.658318,0.977600
-3.027174,2.707210,0.977476
-3.885668,1.298137,0.977355
-4.118481,-0.335356,0.977239
-3.693435,-1.929669,0.977127
-2.682803,-3.233940,0.977019
-1.247819,-4.048385,0.976914
0.389483,-4.252696,0.976813
1.981988,-3.820925,0.976715
3.294961,-2.821624,0.976620
4.139683,-1.404252,0.976528
4.398714,0.225289,0.976439
4.039787,1.835777,0.976352
3.117155,3.203714,0.976268
1.761036,4.143629,0.976187
0.157329,4.531732,0.976108
-1.479056,4.320204,0.976031
-2.933383,3.540823,0.975956
-4.018845,2.298136,0.975883
-4.599445,0.753661,0.975812
-4.605413,-0.896328,0.975744
-4.039690,-2.446315,0.975677
-2.975207,-3.707019,0.975611
-1.543822,-4.527774,0.975548
0.081287,-4.813292,0.975486
1.707335,-4.533171,0.975425
3.144980,-3.723433,0.975367
4.229999,-2.480358,0.975309
4.841184,-0.947729,0.975253
4.912680,0.700721,0.975198
4.439653,2.281464,0.975145
3.477055,3.621578,0.975093
2.131951,4.577189,0.975042
0.550564,5.048056,0.974992
-1.098305,4.986965,0.974943
-2.641588,4.403203,0.974896
-3.919994,3.360045,0.974849
-4.803955,1.966807,0.974804
-5.205960,0.366528,0.974759
-5.088210,-1.279265,0.974715
-4.465063,-2.807070,0.974673
-3.400266,-4.067509,0.974631
-1.999493,-4.939480,0.974590
-0.399112,-5.341080,0.974550
1.247564,-5.236410,0.974511
2.785153,-4.637811,0.974472
4.070744,-3.603521,0.974435
4.986797,-2.231170,0.974398
5.451278,-0.647896,0.974361
5.424238,1.001883,0.974326
4.910397,2.569833,0.974291
3.957673,3.916984,0.974257
2.651954,4.925746,0.974223
1.108732,5.509667,0.974190
-0.537562,5.620197,0.974158
-2.145493,5.249983,0.974126
-3.578784,4.432563,0.974095
-4.717665,3.238641,0.974064
-5.468486,1.769366,0.974034
-5.770886,0.147314,0.974005
-5.602013,-1.494022,0.973976
-4.977572,-3.021298,0.973947
-3.949738,-4.312057,0.973919
-2.602223,-5.264266,0.973891
-1.042985,-5.803967,0.973864
0.604745,-5.890494,0.973838
2.212369,-5.518952,0.973812
3.655962,-4.719864,0.973786
4.825658,-3.556116,0.973760
5.633717,-2.117526,0.973735
6.020689,-0.513546,0.973711
5.959298,1.135312,0.973687
5.455831,2.706623,0.973663
4.549020,4.085099,0.973640
3.306593,5.170859,0.973617
1.819804,5.886371,0.973594
0.196431,6.181599,0.973572
-1.447226,6.037051,0.973550
-2.994735,5.464587,0.973528
-4.337719,4.505998,0.973507
-5.383266,3.229545,0.973485
-6.060070,1.724740,0.973465
-6.322948,0.095816,0.973444
-6.155440,-1.545659,0.973424
-5.570417,-3.088465,0.973404
-4.608687,-4.429201,0.973385
-3.335775,-5.479057,0.973366
-1.837152,-6.169439,0.973347
-0.212250,-6.456135,0.973328
1.432271,-6.321785,0.973309
2.989579,-5.776539,0.973291
4.359556,-4.856940,0.973273
5.455101,-3.623133,0.973256
6.207444,-2.154637,0.973238
6.570190,-0.545005,0.973221
6.521853,1.104287,0.973204
6.066789,2.690294,0.973187
5.234498,4.115001,0.973170
4.077399,5.291276,0.973154
2.667259,6.148016,0.973138
1.090516,6.634208,0.973122
-0.557163,6.721687,0.973106
-2.176772,6.406460,0.973091
-3.671911,5.708564,0.973075
-4.954456,4.670499,0.973060
-5.949611,3.354381,0.973045
